Admin Region Name,Admin Region Code,Series Name,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
"Chad, Zone 5",TCD_Survey_Zone_5_AGG_MAL_Survey_014,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chad, Zone 6",TCD_Survey_Zone_6_AGG_MAL_Survey_015,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chad, Zone 7",TCD_Survey_Zone_7_AGG_MAL_Survey_016,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chad, Zone 8",TCD_Survey_Zone_8_AGG_MAL_Survey_017,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
Chile,CHL,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Aconcagua",CHL_Aconcagua_MAL-019,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Aisen",CHL_Aisen_12940,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Antofagasta",CHL_Antofagasta_CL.AN_883_CHL001,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Araucania",CHL_Araucania_CL.AR_884_CHL002,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Araucania Norte",CHL_Araucania_Norte_MAL-020,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Araucan¡a Sur",CHL_Araucan¡a_Sur_MAL-021,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Arauco",CHL_Arauco_12944,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Arica",CHL_Arica_12974,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Arica y Painacota",CHL_Arica_y_Painacota_CL.AP_91503_CHL012,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Atacama",CHL_Atacama_CL.AT_885_CHL003,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Biobio",CHL_Biobio_CL.BO_887_CHL005,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Chiloe",CHL_Chiloe_12954,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Concepcion",CHL_Concepcion_12946,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Coquimbo",CHL_Coquimbo_CL.CO_888_CHL006,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Del Reloncav¡",CHL_Del_Reloncav¡_MAL-022,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Iquique",CHL_Iquique_91517,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Libertador Gral. Bernardo O'Higgins",CHL_Libertador_CL.CL_889_CHL007,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Los Lagos",CHL_Los_Lagos_CL.LL_91501_CHL008,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Los Rios",CHL_Los_Rios_CL.LR_91504_CHL015,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Magallanes",CHL_Magallanes_CL.MA_891_CHL014,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Maule",CHL_Maule_CL.MU_892_CHL010,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Metro Suroriente",CHL_Metro_Suroriente_MAL-023,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Metrop Norte",CHL_Metrop_Norte_MAL-024,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Metrop Occidente",CHL_Metrop_Occidente_MAL-025,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Metropol Oriente",CHL_Metropol_Oriente_MAL-026,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Metropol Sur",CHL_Metropol_Sur_MAL-027,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Metropol. Central",CHL_Metropol._Central_MAL-028,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Metropolitana",CHL_Metropolitana_CL.ME_893_CHL011,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Nuble",CHL_Nuble_12947,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Osorno",CHL_Osorno_12956,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Poor population",CHL_Poor_population_MAL-029,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Talcahuano",CHL_Talcahuano_149634.55,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Tarapaca",CHL_Tarapaca_CL.TA_91502_CHL013,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Valdivia",CHL_Valdivia_149633,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Valparaiso",CHL_Valparaiso_CL.VA_149630_CHL016,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Valparaiso District",CHL_Valparaiso_149634,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Chile, Vi¤a del Mar",CHL_Vina_del_Mar_149634.66,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
China,CHN,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"China, Beijing and Shenzhen",CHN_Beijing_and_Shenzhen_MAL-030,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
Colombia,COL,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, Amazon Region",COL_Amazon_Region_AGG430,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, Andean Region",COL_Andean_Region_AGG431,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, Antioquia sin Medellin",COL_Antioquia_sin_Medellin_MAL-031,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, Atlantica",COL_Atlantica_AGG_MAL_Survey_056,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, Atlantico and San Andres and Bol. Norte",COL_Atlantico_San_Andres_Bol_Norte_AGG_MAL_Survey_045,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, Barranquilla (dist.port.)",COL_Barranquilla_dist.port_13475,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, Bogota",COL_Bogota_13914,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, Bolivar Sur and Sucre and Cordoba",COL_Bolivar Sur_Sucre_Cordoba_AGG_MAL_Survey_046,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, Boyaca and Cmarca and Meta",COL_Boyaca_Cmarca_Meta_AGG_MAL_Survey_047,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, Caldas and Risaralda and Quindio",COL_Caldas_Risaralda_Quindio_AGG_MAL_Survey_048,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, Cali",COL_Cali_14374,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, Caribbean Region",COL_Caribbean_Region_AGG432,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, Cauca y Narino sin Litoral",COL_Cauca_Narino sin Litoral_AGG_MAL_Survey_049,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, Guajira and Cesar and Magdalena",COL_Guajira_Cesar_Magdalena_AGG_MAL_Survey_054,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, Litoral Pacifico",COL_Litoral_Pacifico_MAL-032,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, Medellin",COL_Medellin_13408,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, Oriental",COL_Oriental_AGG_MAL_Survey_053,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, Pacific Region",COL_Pacific_Region_AGG434,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, R. Pacifica",COL_R._Pacifica_MAL-033,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, R. Pac¡fica",COL_R._Pac¡fica_MAL-034,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, San Andres Y Providencia",COL_San_Andres_Y_Providencia_CO.SP_960_COL027,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, Tolima and Huila and Caqueta",COL_Tolima_Huila_Caqueta_AGG_MAL_Survey_057,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Colombia, Valle sin Cali ni Litoral",COL_Valle_sin_Cali_ni_Litoral_MAL-035,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
Comoros,COM,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Comoros, Anjouan",COM_Anjouan_KM.AN_967_COM001,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,4.8,..,..
"Comoros, Moheli",COM_Moheli_KM.MO_968_COM002,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,5.2,..,..
"Comoros, Ngazidja",COM_Ngazidja_KM.NG_969_COM003,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,3.7,..,..
"Congo, Dem. Rep.",ZAR,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Congo, Dem. Rep., Bandundu",ZAR_Bandundu_ZR.BN_1066_ZAR001,"Prevalence of severe wasting, weight for height (% of children under 5)",4.8,..,..,3.6,..
"Congo, Dem. Rep., Bas-Congo",ZAR_Bas-Congo_ZR.BC_1067_ZAR002,"Prevalence of severe wasting, weight for height (% of children under 5)",1.9,..,..,2.8,..
"Congo, Dem. Rep., Equateur",ZAR_Equateur_ZR.EQ_1068_ZAR003,"Prevalence of severe wasting, weight for height (% of children under 5)",3.9,..,..,1.8,..
"Congo, Dem. Rep., Kasai-Occidental",ZAR_Kasai-Occidental_ZR.KO_1069_ZAR004,"Prevalence of severe wasting, weight for height (% of children under 5)",2.2,..,..,1.3,..
"Congo, Dem. Rep., Kasai-Oriental",ZAR_Kasai-Oriental_ZR.KA_1070_ZAR005,"Prevalence of severe wasting, weight for height (% of children under 5)",3.2,..,..,2.7,..
"Congo, Dem. Rep., Katanga",ZAR_Katanga_ZR.KT_1071_ZAR006,"Prevalence of severe wasting, weight for height (% of children under 5)",2.8,..,..,1.8,..
"Congo, Dem. Rep., Kinshasa",ZAR_Kinshasa_ZR.KN_1072_ZAR007,"Prevalence of severe wasting, weight for height (% of children under 5)",1.7,..,..,0.7,..
"Congo, Dem. Rep., Maniema",ZAR_Maniema_ZR.MA_1073_ZAR008,"Prevalence of severe wasting, weight for height (% of children under 5)",2.3,..,..,9.4,..
"Congo, Dem. Rep., Nord-Kivu",ZAR_Nord-Kivu_ZR.NK_1074_ZAR009,"Prevalence of severe wasting, weight for height (% of children under 5)",1.8,..,..,2.3,..
"Congo, Dem. Rep., Orientale",ZAR_Orientale_ZR.PO_1075_ZAR010,"Prevalence of severe wasting, weight for height (% of children under 5)",3.1,..,..,4.9,..
"Congo, Dem. Rep., Sud-Kivu",ZAR_Sud-Kivu_ZR.SK_1076_ZAR011,"Prevalence of severe wasting, weight for height (% of children under 5)",1.5,..,..,3,..
"Congo, Nord",COG_Nord_AGG_MAL_Survey_125,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Congo, Rep.",COG,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Congo, Rep., Bouenza",COG_Bouenza_CG.BO_970_COG001,"Prevalence of severe wasting, weight for height (% of children under 5)",..,4.7,..,..,..
"Congo, Rep., Brazzaville",COG_Brazzaville_CG.BR_190432_COG012,"Prevalence of severe wasting, weight for height (% of children under 5)",..,1.2,..,..,..
"Congo, Rep., Cuvette",COG_Cuvette_CG.CU_971_COG002,"Prevalence of severe wasting, weight for height (% of children under 5)",..,0.8,..,..,..
"Congo, Rep., Cuvette-Ouest",COG_Cuvette-Ouest_CG.CO_972_COG003,"Prevalence of severe wasting, weight for height (% of children under 5)",..,0.8,..,..,..
"Congo, Rep., Kouilou",COG_Kouilou_CG.KO_190433_COG005,"Prevalence of severe wasting, weight for height (% of children under 5)",..,2.4,..,..,..
"Congo, Rep., Lekoumou",COG_Lekoumou_CG.LE_974_COG006,"Prevalence of severe wasting, weight for height (% of children under 5)",..,1.3,..,..,..
"Congo, Rep., Likouala",COG_Likouala_CG.LI_975_COG007,"Prevalence of severe wasting, weight for height (% of children under 5)",..,1.1,..,..,..
"Congo, Rep., Niari",COG_Niari_CG.NI_976_COG008,"Prevalence of severe wasting, weight for height (% of children under 5)",..,1.4,..,..,..
"Congo, Rep., Plateaux",COG_Plateaux_CG.PL_2973_COG009,"Prevalence of severe wasting, weight for height (% of children under 5)",..,2.2,..,..,..
"Congo, Rep., Point-Noire",COG_Point-Noire_CG.PN_190434_COG013,"Prevalence of severe wasting, weight for height (% of children under 5)",..,0.6,..,..,..
"Congo, Rep., Pool",COG_Pool_CG.PO_190431_COG010,"Prevalence of severe wasting, weight for height (% of children under 5)",..,2.4,..,..,..
"Congo, Rep., Sangha",COG_Sangha_CG.SA_979_COG011,"Prevalence of severe wasting, weight for height (% of children under 5)",..,0.6,..,..,..
"Congo, Sud",COG_Sud_AGG_MAL_Survey_126,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
Croatia,HRV,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Croatia, Eastern",HRV_Slavonia_AGG_MAL_Survey_160_Eastern_MAL-037,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Croatia, Eastern Croatia (Slavonia);",HRV_Slavonia_AGG_MAL_Survey_160,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Croatia, Sredi?nja i Istocna Hrvatska",HRV_Sredisnja_i_Istocna_Hrvatska_NUTS_AGG462,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Croatia, Western",HRV_Dalmatia_AGG_MAL_Survey_162_Western_MAL-038,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Croatia, Western Croatia (Dalmatia and",HRV_Dalmatia_AGG_MAL_Survey_162,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
Cuba,CUB,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Cuba, La Habana",CUB_La_Habana_CU.LH_1017_CUB009,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
Djibouti,DJI,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Djibouti, Autres",DJI_Autres_MAL-039,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Djibouti, Autres districts",DJI_Autres_districts_MAL-040,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Djibouti, Djibouti",DJI_Djibouti_DJ.DB_1095_DJI003,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,7.5,..,..
Dominica,DMA,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominica, Grand Bay village",DMA_Grand_Bay_village_MAL-041,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
Dominican Republic,DOM,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Azua",DOM_Azua_DO.AZ_1108_DOM001,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Baoruco",DOM_Baoruco_DO.BA_1109_DOM002,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Barahona",DOM_Barahona_DO.BH_1110_DOM003,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Cibao Central",DOM_Cibao Central_AGG_MAL_Survey_040,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Cibao Occidental",DOM_Cibao Occidental_AGG_MAL_Survey_041,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Cibao Oriental",DOM_Cibao Oriental_AGG_MAL_Survey_042,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Dajabon",DOM_Dajabon_DO.DA_1111_DOM004,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Dajab¢n",DOM_Dajabon_36886,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Distrito Nacional",DOM_Distrito_Nacional_DO.NC_36858_DOM005,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,1.3,..
"Dominican Republic, Duarte",DOM_Duarte_DO.DU_1113_DOM033,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,0,..
"Dominican Republic, El Seibo",DOM_El_Seibo_DO.ES_1114_DOM007,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, El Valle",DOM_El_Valle_36914,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Elias Pina",DOM_Elias_Pina_DO.EP_1118_DOM008,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Enriquillo",DOM_Enriquillo_36879,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Espaillat",DOM_Espaillat_DO.EA_1115_DOM009,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Hato Mayor",DOM_Hato_Mayor_DO.HM_36854_DOM010,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Independencia",DOM_Independencia_DO.IN_1116_DOM011,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, La Altagracia",DOM_La_Altagracia_DO.AL_1117_DOM012,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, La Romana",DOM_La_Romana_DO.RO_1119_DOM013,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,0.8,..
"Dominican Republic, La Vega",DOM_La_Vega_DO.VE_1120_DOM014,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Maria Trinidad Sanches",DOM_Maria_Trinidad_Sanches_DO.MS_1121_DOM015,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Monsenor Nouel",DOM_Monsenor_Nouel_DO.MN_36855_DOM016,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Monte Cristi",DOM_Monte_Cristi_DO.MC_1122_DOM017,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,0.5,..
"Dominican Republic, Monte Plata",DOM_Monte_Plata_DO.MP_36856_DOM018,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Pedernales",DOM_Pedernales_DO.PN_1123_DOM019,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Peravia",DOM_Peravia_DO.PV_1124_DOM020,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Peravia and Cristobal and Plata",DOM_Peravia_Cristobal_Plata_AGG_MAL_Survey_043,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Puerto Plata",DOM_Puerto_Plata_DO.PP_1125_DOM021,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Region 0",DOM_Region_0_AGG_MAL_Survey_136,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,1.3,..
"Dominican Republic, Region I",DOM_Region_I_AGG_MAL_Survey_137,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,0.6,..
"Dominican Republic, Region II",DOM_Region_II_AGG_MAL_Survey_138,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,0.2,..
"Dominican Republic, Region III",DOM_Region_III_AGG_MAL_Survey_139,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,0,..
"Dominican Republic, Regi¢n IV",DOM_Region_IV_AGG_MAL_Survey_127,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,1.6,..
"Dominican Republic, Region V",DOM_Region_V_AGG_MAL_Survey_140,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,0.8,..
"Dominican Republic, Region VI",DOM_Region_VI_AGG_MAL_Survey_141,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,1,..
"Dominican Republic, Region VII",DOM_Region_VII_AGG_MAL_Survey_142,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,0.5,..
"Dominican Republic, Regi¢n VIII",DOM_Region_VIII_AGG_MAL_Survey_128,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,0,..
"Dominican Republic, Salcedo",DOM_Salcedo_36968,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Samana",DOM_Samana_DO.SM_1127_DOM023,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Saman ",DOM_Samana_36972,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, San Cristobal",DOM_San_Cristobal_DO.CR_1128_DOM024,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,0.6,..
"Dominican Republic, San Crist¢bal",DOM_San_Cristobal_36978,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, San Jose de Ocoa",DOM_San_Jose_de_Ocoa_DO.JO_36857_DOM025,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, San Jos‚ de Ocoa",DOM_San_Jose_de_Ocoa_36984,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, San Juan",DOM_San_Juan_DO.SJ_1129_DOM032,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,1,..
"Dominican Republic, San Pedro de Macoris",DOM_San_Pedro_de_Macoris_DO.PM_1130_DOM026,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, San Pedro de Macor¡s",DOM_San_Pedro_de_Macoris_36995,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Sanchez Ramirez",DOM_Sanchez_Ramirez_DO.SZ_1131_DOM027,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Santiago",DOM_Santiago_DO.ST_848_DOM028,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,0.2,..
"Dominican Republic, Santiago Rodriguez",DOM_Santiago_Rodriguez_DO.SR_1133_DOM029,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Santo Domingo",DOM_Santo_Domingo_DO.SD_1112_DOM031,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Valdesia",DOM_Valdesia_AGG036,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Valverde",DOM_Valverde_DO.VA_1134_DOM030,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Dominican Republic, Yuma",DOM_Yuma_AGG037,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
Ecuador,ECU,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Ecuador, Azuay",ECU_Azuay_EC.AZ_1135_ECU001,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,1,..,..
"Ecuador, Bolivar",ECU_Bolivar_EC.BO_1136_ECU002,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,1.2,..,..
"Ecuador, Canar",ECU_Canar_EC.CA_1137_ECU003,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,0.9,..,..
"Ecuador, Carchi",ECU_Carchi_EC.CR_1138_ECU004,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,0.3,..,..
"Ecuador, Chimborazo",ECU_Chimborazo_EC.CB_1139_ECU005,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,0.8,..,..
"Ecuador, Cotopaxi",ECU_Cotopaxi_EC.CT_1140_ECU006,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,0,..,..
"Ecuador, El Oro",ECU_El_Oro_EC.EO_1141_ECU007,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,0.5,..,..
"Ecuador, Esmeraldas",ECU_Esmeraldas_EC.ES_1142_ECU008,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,0.3,..,..
"Ecuador, Galapagos",ECU_Galapagos_EC.GA_1143_ECU009,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,0,..,..
"Ecuador, Guayaquil",ECU_Guayaquil_15423,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,0.8,..,..
"Ecuador, Guayas",ECU_Guayas_EC.GU_22005_ECU023,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,0,..,..
"Ecuador, Imbabura",ECU_Imbabura_EC.IM_1145_ECU011,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,0.5,..,..
"Ecuador, La Amazon¡a",ECU_La_Amazonia_AGG087,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Ecuador, La Costa",ECU_La_Costa_AGG086,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Ecuador, La Regi¢n Insular",ECU_La_Region_Insular_AGG087_55,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Ecuador, La Sierra",ECU_La_Sierra_AGG085,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Ecuador, Loja",ECU_Loja_EC.LJ_1146_ECU012,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,0.9,..,..
"Ecuador, Los Rios",ECU_Los_Rios_EC.LR_1147_ECU013,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,1.7,..,..
"Ecuador, Manabi",ECU_Manabi_EC.MN_1148_ECU014,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,0.4,..,..
"Ecuador, Morona Santiago",ECU_Morona_Santiago_EC.MS_1149_ECU015,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,0.7,..,..
"Ecuador, Napo",ECU_Napo_EC.NA_1150_ECU016,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,0.8,..,..
"Ecuador, Orellana",ECU_Orellana_EC.OR_1151_ECU017,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,1.9,..,..
"Ecuador, Pastaza",ECU_Pastaza_EC.PA_1152_ECU018,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,0.6,..,..
